id,time,likes,comments,reposts,views,text,ctr,url,year,month,day,tags
200290,1545495146,306,21,14,41787,"Американская провинция, стриптиз-клуб и свадьба с 90-летним миллиардером. История печальной жизни очередной «золушки». 
 
https://knife.media/club/anna-nicole-smith/",0.73,https://knife.media/club/anna-nicole-smith/,2018,2018-12,2018-12-22,"['женщины', 'истории', 'люди']"
200274,1545491515,183,20,4,31780,"На фестивале собралось около 5000 женщин, трансгедеров и квиров. 
 
https://knife.media/female-only/",0.58,https://knife.media/female-only/,2018,2018-12,2018-12-22,"['феминизм', 'мир', 'музыка']"
200261,1545484762,392,7,22,149180,"Коля Сулима подобрал список неканоничных рождественских фильмов. Давайте подзарядитесь праздничным настроением! 
 
https://knf.md/ny-movies",0.26,https://knf.md/ny-movies,2018,2018-12,2018-12-22,"['кино', 'события']"
200213,1545420120,527,36,23,49095,"К 2020 году ученые рассчитывают завершить проект, который получил название Cats Project. Если у них всё получится, аллергики смогут держать дома котов. 
 
https://knife.media/cat-allergy/",1.07,https://knife.media/cat-allergy/,2018,2018-12,2018-12-21,"['наука', 'коты', 'медицина', 'россия']"
200199,1545415922,118,6,6,30217,"Знаете, что мучило Томаса Рипли и сколько человек порезали в «Пятнице 13-е»? Сейчас мы вас проверим. 
 
https://knife.media/maniac-test/",0.39,https://knife.media/maniac-test/,2018,2018-12,2018-12-21,"['тесты', 'кино', 'насилие']"
200182,1545411962,2017,40,164,231660,"Автор «Ножа» следил за трансформацией своего сознания в полном одиночестве от отчаяния и тревоги до творческого подъема и освобождения. 
 
https://knife.media/isolation-experiment/",0.87,https://knife.media/isolation-experiment/,2018,2018-12,2018-12-21,"['личный опыт', 'общение', 'эксперимент']"
200179,1545406100,140,3,9,26290,"Коротко о главных успехах и неудачах ученых в 2018 году. 
 
https://knife.media/science-year/",0.53,https://knife.media/science-year/,2018,2018-12,2018-12-21,"['наука', 'мир', 'рейтинг']"
200169,1545400385,594,8,41,51823,"На русский наконец перевели «Бесконечную шутку» — фрактальный роман на 1000 страниц о депрессии, рекламе, теннисе и много еще о чем. Мы прочли! 
 
https://knife.media/infinite-jest/",1.15,https://knife.media/infinite-jest/,2018,2018-12,2018-12-21,"['книги', 'философия']"
200161,1545396044,156,6,5,23420,"Программе удалось правильно отсеять половину работ. Любопытно, что статью о самой себе нейросеть-рецензент оценила как плохую с вероятностью в 97 %. 
 
https://knife.media/deep-paper/",0.67,https://knife.media/deep-paper/,2018,2018-12,2018-12-21,"['исследование', 'наука', 'нейросети', 'сша', 'технологии']"
200146,1545385897,544,10,123,86372,"Каждый из нас может спасти замерзающего: достаточно позвонить в круглосуточную службу помощи. 

https://knife.media/homeless-help/",0.63,https://knife.media/homeless-help/,2018,2018-12,2018-12-21,"['общество', 'москва', 'россия']"
200144,1545382583,26,2,1,15814,Гид по нашему «Психопати»: https://knife.media/psychoparty-guide/,0.16,https://knife.media/psychoparty-guide/,2018,2018-12,2018-12-21,"['психология', 'москва', 'россия']"
200121,1545331163,168,10,10,39933,"Известный изобретатель отбывает пожизненный срок за жестокое убийство. Его проклинают и ненавидят — но есть ли здесь место милосердию? 

https://knife.media/peter-madsen/",0.42,https://knife.media/peter-madsen/,2018,2018-12,2018-12-20,"['люди', 'криминал', 'мнения', 'насилие', 'общество', 'феминизм']"
200105,1545324415,65,2,0,22726,"Балы, вечеринки, бесплатный алкоголь и прочее веселье — в нашей новой подборке! 

https://knife.media/events-dec-5/",0.29,https://knife.media/events-dec-5/,2018,2018-12,2018-12-20,"['события', 'москва', 'россия']"
200088,1545320648,582,7,37,93683,"Одиночество вызывает стресс, простуду и тоску. Вот небольшая инструкция по применению товарищей с пользой для здоровья.

https://knife.media/we-need-others/",0.62,https://knife.media/we-need-others/,2018,2018-12,2018-12-20,"['общение', 'наука', 'поведение']"
200076,1545316393,245,12,9,26669,"Подросток захотел стать первым живым существом, внутри которого хранится текст. Его стараний не оценили. 

https://knife.media/dna-religious-text/",0.92,https://knife.media/dna-religious-text/,2018,2018-12,2018-12-20,"['наука', 'мир', 'религия']"
200072,1545309530,415,6,32,137585,"Опекунская семья должна принять вместе с ребенком из детдома и его тяжелое прошлое — и отказаться от фантазии об «идеальной» семье. 
 
https://knife.media/adopted-children/",0.3,https://knife.media/adopted-children/,2018,2018-12,2018-12-20,"['детство', 'психология']"
